Group	Gene_name
group_1305	BPTF
group_1306	ABHGA
group_1307	EDC4
group_1308	SMUF1
group_1308	SMUF2
group_1309	PO121
group_132	BAG6
group_133	SRBS1
group_134	SI1L1
group_134	SI1L2
group_134	SIPA1
group_134	SI1L3
group_1358	GNAI1
group_1358	GNAO
group_1358	GNAI3
group_1358	GNAI2
group_135	CNTP2
group_135	CNTP1
group_135	CNTP4
group_135	CTP5B
group_135	CTP5A
group_1360	RBM26
group_1361	DCOR
group_1362	RN19B
group_1362	RN19A
group_1363	PACN1
group_1363	PACN2
group_1364	CYRIA
group_1364	CYRIB
group_1366	IF172
group_1367	TPR
group_1368	PHKG2
group_1369	CE120
group_1370	RHG12
group_1371	SPG7
group_1372	DPP10
group_1372	DPP6
group_1373	SF3B3
group_1374	SRPK1
group_1375	SYTL2
group_1376	PKHM2
group_1377	SYT16
group_1378	MFS11
group_1379	GNPAT
group_1380	HD
group_1381	BPTF
group_1382	RABL6
group_1383	TECT2
group_1384	RN111
group_1385	MA1A1
group_1385	MA1A2
group_1385	MA1C1
group_1386	PYRD1
group_1387	KCRU
group_1387	KCRB
group_1388	LRRF1
group_1388	LRRF2
group_1389	REXO4
group_138	RHG32
group_138	RHG33
group_1390	LAS1L
group_1391	DAPK3
group_1392	TENS3
group_1393	PPIG
group_1394	DGCR8
group_1395	RGF1B
group_1395	RGF1A
group_1396	TNKS1
group_1396	TNKS2
group_1397	MTF2
group_1398	GMPPA
group_1398	GMPAA
group_1399	ATAD3
group_1399	ATD3B
group_139	ECE1
group_139	ECE2
group_13	ADCY8
group_13	ADCY3
group_13	ADCY2
group_13	ADCY1
group_13	ADCY5
group_1401	HUWE1
group_1402	NR1H2
group_1402	NR1H3
group_1403	VP13B
group_1404	MCR
group_1405	SMG7
group_1406	TPP1
group_140	INT6
group_140	INT6L
group_141	SGSM2
group_141	SGSM1
group_142	STXB1
group_142	STXB3
group_142	STXB2
group_143	ITPR1
group_143	ITPR2
group_144	RBM10
group_144	RBM5
group_14583	GDIR3
group_14584	BCL10
group_14585	EMC3
group_14587	MYPR
group_14588	1433T
group_1458	ELP1
group_14590	LTOR1
group_14591	AT1B2
group_14592	TAF13
group_14593	POL
group_14593	GAG
group_14594	H2AZ
group_14595	NDUA5
group_14596	RAB6C
group_14597	VAMP1
group_14598	T22D3
group_14599	LIN7C
group_1459	GBRB3
group_1459	GBRB1
group_1459	GBRB2
group_14600	ERP29
group_14601	AN32B
group_14602	CAH2
group_14603	CD302
group_14604	PKRI1
group_14605	TMED7
group_14607	AP2S1
group_14608	ELMO1
group_14609	WASF3
group_1460	F172A
group_14610	NUCL
group_14611	NISCH
group_14612	UCHL3
group_14613	RM23
group_14614	CHIC2
group_14615	YBOX1
group_14616	KCIP4
group_14617	RAB3A
group_14618	RAB7A
group_14619	COX7R
group_1461	PLK2
group_1461	PLK3
group_14620	RT23
group_14621	SNP25
group_14622	TMM47
group_14623	SH3L1
group_14625	ASSY
group_14626	KALRN
group_14627	ENPP5
group_14628	POMP
group_14629	TV23B
group_1462	NU153
group_14631	PSMG2
group_14632	NGBR
group_14636	RLA2
group_14637	TPC2L
group_14638	DOPD
group_14639	CD5R2
group_1463	ASPH2
group_14640	GSH0
group_14641	SET
group_14642	SHPS1
group_14643	FADS1
group_14644	FADS1
group_14645	FADS1
group_14648	KCNJ3
group_14649	INT12
group_1464	PHLD
group_14650	TCF25
group_14651	FAIM1
group_14652	CALR
group_14653	VEZF1
group_14654	RT06
group_14655	RS6
group_14656	CNN3
group_14657	BT3L4
group_14658	STX8
group_14659	NOP16
group_1465	ZEP1
group_14660	VOPP1
group_14661	NAA60
group_14663	IGBP1
group_14664	GCSH
group_14665	EMD
group_14667	UB2E3
group_14667	UB2E2
group_14668	CP072
group_14669	WIPF3
group_1466	SMOX
group_14670	PRDX4
group_14671	ELOV5
group_14672	CHMP3
group_14673	PFD1
group_14674	OSTC
group_14675	NIPA1
group_14676	PITH1
group_14678	RT18B
group_14679	CD81
group_1467	NOE2
group_1467	NOE3
group_1467	NOE1
group_14680	ORC6
group_14681	ARMX5
group_14682	CCD92
group_14684	GSTM1
group_14685	COPZ1
group_14686	ACADM
group_14687	FNDC5
group_14688	ZN664
group_14689	RL6
group_1468	HCN1
group_1468	HCN2
group_14690	GABR1
group_14691	CC038
group_14692	F216A
group_14693	NAAA
group_14694	SYT13
group_14696	NCEH1
group_14697	IFTAP
group_14698	PCYOX
group_14699	UBL3
group_1469	ELMD1
group_14701	CERS6
group_14702	LRC59
group_14704	ZC4H2
group_14705	NDUB5
group_14706	EBP2
group_14707	CIB1
group_14708	RAB21
group_14709	HEBP1
group_1470	TSH2
group_1470	TSH3
group_1470	TSH1
group_14710	ISCA2
group_14713	CFA20
group_14714	NFIP1
group_14716	RGS10
group_14717	NDUS4
group_14719	AKAP5
group_1471	LRCH2
group_1471	LRCH1
group_14720	SAR1B
group_14721	COMD1
group_14722	RT28
group_14723	METRN
group_14724	NSG1
group_14725	PCLI1
group_14726	NGEF
group_14728	PHF23
group_14730	RAB24
group_14731	SELPL
group_14732	TM59L
group_14733	ACER3
group_14735	UB2G2
group_14736	RFXAP
group_14737	SR1IP
group_14738	UBC12
group_14739	BSCL2
group_1473	HDAC3
group_1473	HDAC2
group_1473	HDAC1
group_14740	PSME3
group_14741	1433B
group_14742	IRS2
group_14743	MLP3A
group_14744	PNO1
group_14745	CA174
group_14746	VPS39
group_14748	REEP1
group_14749	SGMR1
group_1474	RGS7
group_1474	RGS6
group_14750	VATF
group_14751	BORC5
group_14752	PHAR1
group_14753	PM34
group_14754	CSPG5
group_14755	FRS1L
group_14756	SAP30
group_14757	DAD1
group_14759	PARVA
group_1475	STAT3
group_1475	STAT1
group_14760	COX5A
group_14761	GID8
group_14765	ZFX
group_14766	RAMP2
group_14767	CC117
group_14768	NDUAB
group_14769	RPB7
group_1476	KCNH3
group_14770	CSK2B
group_14772	SRSF7
group_14774	MORN4
group_14776	IPYR2
group_14777	RBBP9
group_14778	ELOB
group_14779	CETN3
group_1477	ANR12
group_14782	ACYP2
group_14783	MB12B
group_14785	TSN7
group_14786	RT15
group_14787	EMRE
group_14788	KLF6
group_14789	TIDC1
group_1478	PRP31
group_14790	STXB5
group_14792	ZMIZ1
group_14793	DYR1A
group_14794	SNR25
group_14795	CAC1B
group_14796	TXN4A
group_14797	TAZ
group_14798	P3IP1
group_14799	CKAP4
group_1479	ARHGP
group_14800	RPAC2
group_14802	NGDN
group_14803	DYLT3
group_14804	COA3
group_14805	PXL2B
group_14807	OPN3
group_14808	TMCO1
group_14809	LERL1
group_1480	LPPRC
group_14810	NREP
group_14811	UCHL1
group_14812	TP4A2
group_14813	RS19
group_14814	LSAMP
group_14815	ARL8A
group_14816	1433Z
group_14817	SCAM1
group_14818	RIT2
group_1481	SGIP1
group_14820	NH2L1
group_14821	HBB1
group_14824	SCHI1
group_14825	RPB4
group_14826	S2533
group_14827	ELOV4
group_14828	MCL1
group_14829	T229A
group_1482	NCAN
group_14831	UB2L3
group_14832	HP1B3
group_14833	DCTN2
group_14834	STMN4
group_14835	CA021
group_14836	TLE5
group_14837	RAB15
group_14838	RN185
group_14839	PGP
group_1483	PYC
group_14840	POL
group_14841	PKHB2
group_14842	SYNRG
group_14843	F162A
group_14844	FKB1B
group_14845	CC149
group_14846	ARPC3
group_14847	CRIPT
group_14848	ENSA
group_14848	ARP19
group_14849	TGON1
group_1484	ZN773
group_1484	ZN419
group_14850	NTPCR
group_14852	NP1L2
group_14853	MED10
group_14854	KCJ10
group_14856	PSB6
group_14857	RL10A
group_14858	NMNA2
group_14859	NDUA6
group_1485	BSN
group_14860	EAF6
group_14861	LRC3B
group_14862	SPAG7
group_14863	MARE2
group_14864	JAM2
group_14865	CAPSD
group_14865	VGA
group_14866	RM22
group_14867	PDES1
group_14868	CANB1
group_1486	ENPP2
group_1486	ENPP1
group_14870	NUDT3
group_14871	RNF12
group_14872	ZFAN5
group_14873	DOK6
group_14874	OLA1
group_14876	RT14
group_14877	S6A17
group_14878	FUND2
group_14879	IF5A2
group_1487	RPAP3
group_14881	ZCH12
group_14882	LORF2
group_14883	KPBB
group_14884	FA32A
group_14885	ARMX4
group_14886	3HIDH
group_14889	GL8D2
group_1488	MATK
group_14892	SEC62
group_14893	RU2B
group_14894	UBAD1
group_14895	MTND
group_14896	EPHB1
group_14897	T178A
group_14899	RN208
group_1489	CYTSA
group_1489	CYTSB
group_148	GRDN
group_148	DAPLE
group_14901	UBCP1
group_14902	SDC4
group_14903	TFAM
group_14904	COPRS
group_14905	SOSB1
group_14909	DUS1
group_1490	S38AA
group_14910	POL
group_14910	DUTL
group_14911	CLCB
group_14912	IDH3A
group_14913	TR1L1
group_14914	INT8
group_14915	DTD1
group_14916	CSN8
group_14917	PRLD1
group_14918	RM42
group_14919	METL6
group_1491	DELE1
group_14920	RM27
group_14921	TBP
group_14922	TIM14
group_14923	FAM3C
group_14924	RES18
group_14925	SYJ2B
group_14928	PP4R2
group_14929	SPIT2
group_1492	DUS1L
group_1492	CSN1
group_14931	CD9
group_14932	COMD8
group_14933	TPPC3
group_14934	TM218
group_14935	LYPA1
group_14936	INAR2
group_14937	HM13
group_14938	DCNL5
group_14939	PROF1
group_1493	RPGF1
group_14940	RET4
group_14941	HDDC2
group_14942	PDE6D
group_14943	ZC21A
group_14944	MIA40
group_14946	ILRUN
group_14947	PCS1N
group_14948	EDF1
group_14949	MAP2
group_1494	DGKZ
group_1494	DGKI
group_14950	MTFP1
group_14951	TDRD7
group_14952	TM242
group_14953	OTUB2
group_14954	NDUV2
group_14955	PSA7
group_14956	TMED2
group_14957	SC11C
group_14958	RGS2
group_14959	TPRGL
group_1495	CA2D1
group_14960	PCGF3
group_14961	ZMY19
group_14962	CHMP5
group_14963	FARP1
group_14963	FARP2
group_14964	44448
group_14965	PEX13
group_14967	RM15
group_14968	TOX
group_14969	MRT4
group_1496	SR140
group_14970	ALKMO
group_14972	PSB7
group_14973	RNF11
group_14974	PROS
group_14974	GAS6
group_14975	MED4
group_14976	TKN1
group_14979	TMED9
group_1497	TBKB1
group_14980	CSRP1
group_14981	RS26
group_14982	GOSR1
group_14983	PODXL
group_14984	UB2E2
group_14985	ACO13
group_14986	LIN52
group_14988	FUND1
group_1498	FBXW2
group_14990	AP3B1
group_14991	NFH
group_14992	TIM22
group_14993	SP30L
group_14994	ORAI3
group_14996	PSA1
group_14997	CAH8
group_14998	RM28
group_14999	GGCT
group_1499	WASC5
group_149	PP6R2
group_149	PP6R1
group_149	PP6R3
group_14	DOCK7
group_14	DOCK9
group_14	DOC10
group_14	DOC11
group_14	DOCK6
group_15000	DOK5
group_15001	GDC
group_15004	CP087
group_15005	LYZ2
group_15006	BCL7B
group_15007	Z354C
group_15008	G45IP
group_15009	PLP2
group_1500	CLK4
group_1500	CLK1
group_15011	GSTP1
group_15012	EVG1
group_15013	CNIH3
group_15014	FRIH
group_15016	ARAF
group_15017	MP17L
group_15019	TCTP
group_1501	WDR35
group_15020	SCMC3
group_15022	RENR
group_15023	SF3B4
group_15024	MED30
group_15026	CAVN3
group_15028	GLMP
group_15029	SPRE1
group_1502	ZN821
group_15030	KAD3
group_15032	DBP
group_15033	RS9
group_15034	RSLBB
group_15036	NAA50
group_15037	COMD6
group_15039	CHIO
group_1503	PCY2
group_15040	MTUS1
group_15041	FXYD6
group_15043	PR38A
group_15044	UBE2W
group_15045	RPN1
group_15046	CPNS1
group_15047	KCNF1
group_15048	GNAO
group_15049	XPR1
group_1504	ABCG1
group_1504	ABCG4
group_15050	RGS4
group_15052	RAB2A
group_15053	MOBP
group_15054	TPGS2
group_15055	PSDE
group_15056	RBM7
group_15057	AGRL1
group_15057	AGRL3
group_15058	FBX28
group_15059	COQ5
group_1505	ANM1
group_15060	RAB31
group_15061	LIS1
group_15063	TMM9B
group_15064	RFOX3
group_15065	NEP1
group_15065	MBOA5
group_15066	SF3B6
group_15067	GLRX3
group_15068	CDIPT
group_1506	POTE1
group_15070	BASI
group_15071	H2AY
group_15072	BIN1
group_15073	YETS4
group_15075	NDUB7
group_15076	TRI32
group_15077	TM41B
group_15079	ILKAP
group_15080	SUMO1
group_15081	ICLN
group_15082	PIN4
group_15083	TOM20
group_15084	SNX27
group_15085	CZIB
group_15086	E41L2
group_15087	IFIT3
group_15088	NPDC1
group_15089	GOLP3
group_1508	IF3M
group_1508	TF3A
group_15090	CATB
group_15092	DERPC
group_15093	RTRAF
group_15094	B3GT2
group_15095	MANF
group_15096	NECA1
group_15097	CCKN
group_15098	RDH14
group_15099	CRHBP
group_1509	TFP11
group_150	MTMR4
group_150	MTMR3
group_15100	NCOA7
group_15101	PEX5
group_15104	TMX4
group_15105	TYOBP
group_15106	CC127
group_15107	PRDX6
group_15108	IL34
group_15109	F25A4
group_1510	KCNH7
group_1510	KCNH2
group_15110	MED28
group_15111	ARP10
group_15116	SLBP
group_15117	T106B
group_15118	RCN2
group_1511	SKIL
group_15122	TXTP
group_15123	ATX10
group_15124	MED19
group_15126	ARFRP
group_15127	RAMP3
group_15128	CCG7
group_15129	RSRP1
group_15130	AIMP1
group_15131	SUPT3
group_15133	AT2B4
group_15135	T179A
group_15137	PXL2A
group_15138	THEM4
group_15139	NSRP1
group_15140	PGRC2
group_15143	F107A
group_15144	MASU1
group_15145	TACO1
group_15146	VPS25
group_15147	EFNB3
group_15148	CENPB
group_15149	CAH11
group_15150	RBM12
group_15153	CREG1
group_15155	TM199
group_15156	ING1
group_15157	THOC3
group_15158	NDUF4
group_15159	RND1
group_15160	SPRE
group_15161	DHPR
group_15162	ARAID
group_15164	TOR1A
group_15165	CCNG2
group_15167	RASK
group_15168	SIM26
group_15169	ERMIN
group_15170	PRAF1
group_15171	PNM8B
group_15172	HINT2
group_15173	NDUS8
group_15174	CDS1
group_15175	DCK
group_15176	TPPC4
group_15177	LTOR2
group_15178	MCAT
group_15179	FABP7
group_15180	MPU1
group_15181	ALG14
group_15182	IFT22
group_15184	TLC3B
group_15185	DNJC8
group_15186	TIPIN
group_15187	UB2R2
group_15188	SYAP1
group_15190	CISD1
group_15191	CD320
group_15192	DNJC9
group_15195	MET2A
group_15195	METL8
group_15197	HS3S4
group_15198	SKAP2
group_15199	AQP11
group_151	TLE4
group_151	TLE3
group_151	TLE1
group_151	TLE2
group_15200	PTPS
group_15201	IKBP1
group_15202	TM208
group_15203	RM10
group_15205	CC107
group_15206	OSTM1
group_15207	MAL2
group_15208	CGRF1
group_15209	RPP29
group_15210	NB5R3
group_15211	CIR1
group_15213	T126A
group_15214	FUT9
group_15215	DCMC
group_15216	GPTC8
group_15217	LTOR5
group_15218	PTN4
group_15219	PDPN
group_15220	T22D4
group_15221	MYDGF
group_15222	SAC31
group_15223	AACS
group_15224	PHF23
group_15225	TLN2
group_15226	1433F
group_15228	CCNG1
group_15230	ITM2C
group_15231	MMP17
group_15233	CERS1
group_15234	RT36
group_15235	MK67I
group_15236	ZNT1
group_15237	RBX1
group_15238	KDM2A
group_15239	VHL
group_15242	PIPNA
group_15243	DHB12
group_15244	NP1L3
group_15245	RN128
group_15247	RAB8B
group_15248	AP2M1
group_15250	SCAM5
group_15251	G37L1
group_15253	ANXA5
group_15254	YIPF4
group_15255	LGUL
group_15256	DIK1A
group_15256	RL5
group_15257	RAC1
group_15258	NR2E1
group_15260	ZBT18
group_15261	UTP11
group_15263	ERGI1
group_15264	MGAT3
group_15265	MYDGF
group_15266	NO40
group_15267	RGS5
group_15268	RAB1A
group_15270	MCEE
group_15271	HTRA1
group_15272	METRL
group_15274	FBSP1
group_15275	RS3
group_15278	CC148
group_15279	TXD12
group_15280	CEND
group_15282	JAGN1
group_15283	RL11
group_15284	MLP3B
group_15285	RHG33
group_15286	CLCA
group_15287	USE1
group_15288	BNIP3
group_15289	LUZP2
group_15291	EFNA3
group_15292	KTHY
group_15294	TTC9B
group_15296	PRDX1
group_15298	RAMAC
group_15299	TM35A
group_152	ADA23
group_152	ADA22
group_152	ADA11
group_15300	RASM
group_15301	SPF27
group_15302	RM35
group_15303	AN32E
group_15305	CC90B
group_15307	RN157
group_15308	CRIP2
group_15309	TM2D3
group_15311	AKIR1
group_15312	RNF26
group_15313	DECR
group_15319	HNRH3
group_15321	TSTD3
group_15322	BC11A
group_15323	LUR1L
group_15324	B2MG
group_15325	MSD4
group_15326	RAE1
group_15327	RM46
group_15328	SSR2
group_15329	S39A6
group_15330	VTM2A
group_15331	OTUD1
group_15332	CC014
group_15333	1433E
group_15334	DHSD
group_15335	PTPRN
group_15336	BAZ1B
group_15338	BRD2
group_15339	NCBP2
group_15340	CENPV
group_15341	UB2V2
group_15342	RN181
group_15344	LEG1
group_15345	SC11A
group_15346	MPC2
group_15347	DNER
group_15351	RM04
group_15352	CALB2
group_15353	P5I11
group_15354	CSRN3
group_15355	MLEC
group_15356	RGAP1
group_15357	FGF13
group_15358	AP4S1
group_15359	HEM2
group_15360	ORN
group_15361	PYGO1
group_15362	CIB2
group_15363	CN132
group_15364	LMO3
group_15365	HLF
group_15366	CHAC2
group_15367	COA8
group_15368	LASP1
group_15369	TI17A
group_15370	CYB5B
group_15372	ASHWN
group_15373	FSTL1
group_15374	LYSM2
group_15375	FUCM
group_15377	TMEDA
group_15378	PTTG1
group_15379	PRDX3
group_15380	SNG1
group_15381	TPC6B
group_15382	CD53
group_15383	PDXK
group_15384	LIN7A
group_15385	PSB3
group_15386	APCD1
group_15387	RT24
group_15389	CCHL
group_15390	SIKE1
group_15391	IFT27
group_15392	FDX2
group_15394	TYW2
group_15395	SNAPN
group_15396	CHMP6
group_15397	TROP
group_15398	PR40B
group_15399	GGYF2
group_15400	RM14
group_15401	SARNP
group_15403	NDUS6
group_15406	VPS72
group_15407	ZSC21
group_15408	TIM50
group_15409	KCC1G
group_15410	ACKR1
group_15411	NDUB8
group_15412	RNK
group_15414	AT2L1
group_15414	ILE2E
group_15415	HINT3
group_15416	SEC20
group_15417	SH3Y1
group_15418	IF4E
group_15419	H2AW
group_15420	UFC1
group_15421	PDCD6
group_15424	PAAT
group_15425	PLAT1
group_15426	GPR39
group_15426	LYPD1
group_15427	GPR52
group_15427	GPR21
group_15428	MAD4
group_15429	T151A
group_15430	NDUB4
group_15431	VKORL
group_15432	T22D1
group_15433	UBE2N
group_15433	UBC36
group_15435	GGA3
group_15436	MDM2
group_15438	KLD10
group_15439	WDR82
group_15441	MSRB2
group_15442	FGF14
group_15443	PTEN
group_15444	GASP2
group_15445	HABP4
group_15446	VATO
group_15447	NOCT
group_15448	PEF1
group_15449	CSEN
group_15450	BL1S6
group_15451	LBH
group_15452	SC22B
group_15455	DUS19
group_15456	NANP
group_15457	CHP1
group_15458	ARNT2
group_15459	RPC8
group_15460	FHL2
group_15461	PLD3B
group_15462	BABA2
group_15463	RL37
group_15464	FBX5
group_15465	CFA36
group_15466	IF5A1
group_15467	TAGL3
group_15468	SPCS2
group_15469	PNRC2
group_15470	LAS1L
group_15471	SGTA
group_15472	SNX10
group_15473	LETM1
group_15475	TSN14
group_15476	VAMP4
group_15478	OMGP
group_15479	AP1S1
group_15480	F205B
group_15481	FMN2
group_15482	RS23
group_15483	MUC24
group_15484	EBPL
group_15485	E2F3
group_15486	UBL4A
group_15487	AREL1
group_15488	CATS
group_15489	ZN251
group_15490	SRA1
group_15491	MCA3
group_15493	NDUS7
group_15494	PDRG1
group_15495	NDUA8
group_15496	GPR37
group_15498	GLNA
group_15500	T22D1
group_15501	PSA5
group_15502	TRA2B
group_15504	TSYL5
group_15505	PHOCN
group_15506	BDNF
group_15507	UBQL2
group_15508	RIPL1
group_15509	PLLP
group_15510	RS3A
group_15513	GAL3A
group_15514	ACBD6
group_15516	DJC24
group_15517	VATE1
group_15520	CISD2
group_15521	JIP2
group_15522	GMFB
group_15523	TMM59
group_15524	ARMX5
group_15525	NOLC1
group_15526	PROF2
group_15527	MTMR9
group_15528	CHM4B
group_15529	CX6A1
group_15529	CX6A2
group_15530	SLIK1
group_15533	SMD1
group_15534	MTNB
group_15535	LEGL
group_15536	OTUD5
group_15537	MAGH1
group_15538	PMGE
group_15540	EMC5
group_15542	TAF11
group_15543	NSE3
group_15544	BTG1
group_15545	AATM
group_15546	M21D2
group_15547	CF062
group_15548	SNX12
group_15549	RGPS1
group_15553	ING2
group_15555	DCAF7
group_15556	TM38B
group_15558	NPS3B
group_15559	GBRL1
group_1555	HXK1
group_1555	HXK2
group_15560	SATB1
group_15561	DUS3
group_15562	IBP6
group_15563	MT21D
group_15564	KCIP2
group_15565	ZN654
group_15566	CLD10
group_15567	MYADM
group_15568	DNAL1
group_15569	TMED5
group_1556	SC31A
group_15570	PREX1
group_15571	SELT
group_15572	NRSN2
group_15573	RAB4A
group_15575	RU2A
group_15576	MTPN
group_15578	SPT4H
group_15579	RRP1
group_1557	FRPD4
group_1557	FRPD3
group_15580	CABP8
group_15581	CIA2A
group_15582	CSN7B
group_15583	PDE1B
group_15584	CNPY4
group_15585	RB22A
group_15586	QPCT
group_15586	QPCTL
group_15587	MAX
group_15588	MK11
group_15589	RNT2B
group_1558	KCAB1
group_1558	KCAB2
group_1558	KCAB3
group_15590	MAL
group_15591	RCBT1
group_15592	AR6P1
group_15593	ISY1
group_15594	STEEP
group_15595	YPEL3
group_15596	NDUAC
group_15597	AKIR2
group_15598	H
group_15598	VGA
group_15599	PSME2
group_1559	ZC3HE
group_155	AGRL1
group_155	AGRL3
group_155	AGRL2
group_15600	SYF2
group_15602	FUCO
group_15603	UB2V1
group_15604	PHP14
group_15605	CHUR
group_15606	KCC2B
group_15607	CCD12
group_15609	PNM8C
group_1560	TRI33
group_1560	TIF1A
group_15610	KCTD2
group_15612	COMDA
group_15613	CABP7
group_15614	PP14C
group_15616	TSN2
group_15618	CR032
group_15619	S10AB
group_1561	TAF1
group_15620	CA131
group_15621	HSP13
group_15622	TSN6
group_15623	HS2ST
group_15624	KCNQ2
group_15625	TMED4
group_15627	CTDS2
group_15628	SGMR2
group_15629	POL
group_1562	ZFP54
group_15631	SELPL
group_15632	UQCC2
group_15633	HSPB8
group_15634	NENF
group_15635	PDXL2
group_15636	RSSA
group_15637	TM10C
group_15639	CELF3
group_1563	ATX2
group_15640	LAR1B
group_15643	PCGF1
group_15644	MERB1
group_15648	COTL1
group_15649	YIF1B
group_1564	UBE4B
group_15650	RL18
group_1566	ZBT7A
group_1567	GNL3
group_1568	WDR3
group_1569	NALCN
group_156	MYO9A
group_156	MYO9B
group_1570	PPR37
group_1571	FAKD2
group_1572	INP4A
group_1572	INP4B
group_1573	KDM2A
group_1573	KDM2B
group_1574	ANM7
group_1575	GCDH
group_1576	T132B
group_1576	T132D
group_1577	KMT2A
group_1578	SRRM2
group_1579	SYT1
group_1579	SYT5
group_157	PTN3
group_157	PTN4
group_1580	FNIP1
group_1581	XPO6
group_1582	NSMF
group_1583	SPB1
group_1584	CAP2
group_1584	CAP1
group_1585	BRD7
group_1586	SMBT1
group_1586	SMBT2
group_1587	DDX49
group_1588	SNX1
group_1588	SNX2
group_1589	APBA2
group_1589	APBA1
group_158	CUL4B
group_158	CUL4A
group_1590	HIRA
group_1591	OPCM
group_1591	NTRI
group_1592	PRIC1
group_1592	PRIC2
group_1593	NCBP1
group_1594	VIGLN
group_1595	PTPR2
group_1595	PTPRN
group_1596	CTR4
group_1597	PTC1
group_1599	TTBK2
group_1599	TTBK1
group_159	EMSY
group_15	GRIA4
group_15	GRIA3
group_15	GRIK5
group_15	GRIK2
group_15	GRIA1
group_15	GRIA2
group_15	GRIK4
group_15	GRIK3
group_1600	MAGD2
group_1601	GOGA2
group_1602	MPP3
group_1603	PEX6
group_1604	AP1G1
group_1605	MTSS2
group_1605	MTSS1
group_1606	K0408
group_1607	SMCE1
group_1608	EXOC3
group_1609	CNOT2
group_160	DTNA
group_160	DTNB
group_1610	S15A2
group_1611	SGSM3
group_1612	TASOR
group_1613	XPA
group_1614	PLST
group_1615	MK01
group_1615	MK03
group_1616	ZDHC6
group_1618	AL1L1
group_1618	AL1L2
group_1619	FKB15
group_161	SYQ
group_1620	FOCAD
group_1621	DDB1
group_162	VPS16
group_163	DI3L1
group_163	RRP44
group_164	M4K3
group_164	M4K5
group_164	M4K2
group_165	PER1
group_165	PER2
group_1667	RLGPB
group_1668	MYPR
group_1668	VEXIN
group_1669	LAR4B
group_166	DIP2C
group_166	DIP2B
group_166	DIP2A
group_1670	DGKE
group_1671	SPN90
group_1672	SYN2
group_1672	SYN1
group_1672	SYN3
group_1673	SNX19
group_1674	ST32C
group_1674	ST32B
group_1675	C99L2
group_1676	ENOA
group_1676	ENOG
group_1676	ENOB
group_1677	APC1
group_1678	MED7
group_1679	CHIP
group_1679	JMJD8
group_167	TBC24
group_1681	MTX1
group_1681	GLCM
group_1684	CSTFT
group_1684	CSTF2
group_1685	QRIC1
group_1686	LRRN3
group_1686	LRRN1
group_1686	LRRN2
group_1687	CAMP1
group_1688	DZAN1
group_1689	MAIP1
group_168	DHX36
group_168	DHX29
group_168	DHX57
group_1690	TWF1
group_1690	TWF2
group_1691	STABP
group_1691	STALP
group_1692	LATS1
group_1692	LATS2
group_1693	SETX
group_1694	PEX5
group_1695	CC186
group_1696	AQR
group_1697	RALYL
group_1698	ALS2
group_1699	TRAP1
group_16	PRP16
group_16	DHX8
group_16	DHX15
group_16	DHX32
group_16	DHX16
group_16	DHX35
group_16	DHX33
group_1700	CTR3
group_1700	SL7A1
group_1700	CTR2
group_1701	MINT
group_1702	CYFP1
group_1702	CYFP2
group_1703	GIT1
group_1703	GIT2
group_1704	USO1
group_1705	NEMF
group_1706	IREB2
group_1706	ACOC
group_1708	MIC60
group_1709	PARN
group_170	RIMS2
group_170	RIMS1
group_1710	HMGX3
group_1711	PCLO
group_1712	APC5
group_1713	CABIN
group_1714	TIRR
group_1715	AKAP9
group_1716	BECN1
group_1717	TXD11
group_1718	TM131
group_1719	SPX3
group_171	GRP75
group_171	BIP
group_171	HSP7C
group_171	SSB1
group_171	BIP2
group_171	HSP70
group_171	DNAK
group_171	HSP72
group_171	HS71L
group_171	HS71A
group_1720	UT14A
group_1720	UT14B
group_1721	CP20A
group_1722	SNX17
group_1723	DAPK1
group_1724	ZMIZ2
group_1725	SKT
group_1726	SRS11
group_1727	ILK
group_1727	TAF10
group_1728	PPM1A
group_1728	PPM1B
group_1729	P20L1
group_172	CNTN4
group_172	CNTN1
group_172	CNTN5
group_172	CNTN2
group_1730	WDR37
group_1732	PR38B
group_1733	IMA7
group_1733	IMA5
group_1734	KHDC4
group_1735	DI3L2
group_1736	BBS2
group_1738	UBIM
group_1738	RS30
group_1739	DDX24
group_173	CSKP
group_1740	MPRI
group_1742	PPGB
group_1743	BOP1
group_1744	MPPA
group_1745	CRY2
group_1745	CRY1
group_1746	MED14
group_1747	GCYA1
group_1747	GCYA2
group_1748	EHD3
group_1748	EHD1
group_1748	EHD4
group_1749	GFPT1
group_1749	GFPT2
group_174	CPSF1
group_1750	RM49
group_1751	TM1L2
group_1751	TOM1
group_1752	PANK4
group_1753	DNJC7
group_1754	TM205
group_1755	NVL
group_1756	SCYL2
group_1758	AFG32
group_1758	AFG31
group_1759	BCOR
group_175	TMM94
group_1760	PDXD1
group_1761	CBX7
group_179	CE170
group_179	C170B
group_17	CLU
group_180	FGD1
group_180	FGD4
group_181	NUMA1
group_182	DCE1
group_182	DCE2
group_182	CSAD
group_1832	RHG21
group_1833	MK09
group_1833	MK10
group_1834	RAPH1
group_1835	SYIM
group_1836	KCND2
group_1836	KCND3
group_1836	KCND1
group_1837	DC121
group_1837	DCA12
group_1838	PTCD3
group_1839	DDX27
group_183	NDST1
group_183	NDST2
group_183	NDST4
group_1840	PEG3
group_1841	GOGB1
group_1842	EXOSX
group_1843	PI5PA
group_1844	DMWD
